"","�..linie","richtung","betriebsdatum","fahrzeug","kurs","seq_von","halt_diva_von","halt_punkt_diva_von","halt_kurz_von1","datum_von","soll_an_von","ist_an_von","soll_ab_von","ist_ab_von","seq_nach","halt_diva_nach","halt_punkt_diva_nach","halt_kurz_nach1","datum_nach","soll_an_nach","ist_an_nach1","soll_ab_nach","ist_ab_nach","fahrt_id","fahrweg_id","fw_no","fw_typ","fw_kurz","fw_lang","umlauf_von","halt_id_von","halt_id_nach","halt_punkt_id_von","halt_punkt_id_nach","arrivelate"
"741",10,1,"23.09.15",3067,16,19,1507,0,"LANM","23.09.15",64782,64807,64806,64820,20,1550,0,"LETZ","23.09.15",64842,64865,64866,64877,47383,3747,1,1,1,"FRAF - GESS",90499,2315,2274,5295,5183,23
"742",2,1,"23.09.15",3002,3,3,1570,0,"LIND","23.09.15",32382,32511,32412,32529,4,1026,0,"GRIM","23.09.15",32454,32572,32484,32588,349615,4399,1,1,1,"FARB - BTIE",104474,2535,2770,5868,6596,118
"743",912,1,"23.09.15",11658,2,1,1845,50,"OPER","23.09.15",33510,33552,33510,33552,2,1456,0,"KRES","23.09.15",33576,33679,33612,33688,182183,16384,19,1,19,"OPER - ITFA wenden OPER",96381,2104,2612,8096,5952,103
"744",2,1,"23.09.15",3002,3,16,601,0,"BOES","23.09.15",24552,24649,24570,24660,17,615,0,"BURK","23.09.15",24636,24755,24666,24769,349611,4399,1,1,1,"FARB - BTIE",104474,2228,2590,6211,6341,119
"745",75,1,"23.09.15",10415,6,5,1532,21,"LEIM","23.09.15",52860,52957,52878,52968,6,1483,20,"KAES","23.09.15",52920,53027,52938,53035,53553,13282,51,1,51,"SEPL - BOEN neue Fz.",93879,2594,2667,9338,9360,107
"746",32,1,"22.09.15",10079,1,15,904,10,"FRIE","22.09.15",25140,25274,25152,25280,16,1307,10,"IHAG","22.09.15",25200,25340,25212,25346,353307,4328,3,1,3,"BUCH - STRV",104947,2662,2807,6079,6686,140
"747",786,2,"22.09.15",11017,12,10,3444,51,"GLOK","22.09.15",26742,26799,26760,26799,11,1584,11,"LOOR","22.09.15",26802,26846,26820,26862,68099,6458,10,1,10,"FAEI - KLUS ohne PFAF",92871,2426,2450,5559,5615,44
"748",912,1,"22.09.15",11660,2,9,824,50,"FBST","22.09.15",73644,73725,73662,73736,10,715,52,"DUFP","22.09.15",73704,73782,73722,73793,182205,16384,19,1,19,"OPER - ITFA wenden OPER",96381,2669,2628,6095,5997,78
"749",303,2,"21.09.15",11427,2,20,6586,51,"CESP","21.09.15",48732,48870,48762,48870,21,6301,51,"FURT","21.09.15",48792,48911,48804,48920,435676,12085,2,1,2,"SCHL - BKIS",106645,2397,2014,5485,4552,119
"750",95,2,"21.09.15",10547,6,5,1592,11,"LUGG","21.09.15",64800,64784,64812,64792,6,3022,11,"BALT","21.09.15",64866,64912,64866,64936,55525,4859,2,1,2,"FLAG - BALT",90630,2730,2540,6500,5889,46
"751",89,1,"21.09.15",10249,1,19,2302,20,"SHOF","21.09.15",25068,25190,25098,25200,20,904,10,"FRIE","21.09.15",25170,25260,25188,25267,55991,8630,1,1,1,"HEIZ - SIHC",92774,2802,2662,6676,6079,90
"752",14,1,"20.09.15",2053,4,11,2158,0,"SPLA","20.09.15",53244,53236,53274,53262,12,1468,0,"KRON","20.09.15",53334,53342,53358,53354,250826,5275,1,1,1,"SEEB - TRIE",99345,1539,2087,3443,4757,8
"753",14,1,"20.09.15",3011,3,7,465,0,"BERN","20.09.15",35946,35992,35970,36004,8,1215,0,"HIRS","20.09.15",36018,36063,36048,36083,250796,5275,1,1,1,"SEEB - TRIE",99529,2276,1532,5188,3402,45
"754",14,2,"20.09.15",2013,6,25,845,1,"FELS","20.09.15",26172,26188,26196,26197,26,1275,1,"SEPL","20.09.15",26238,26254,26262,26257,250872,5276,2,1,2,"TRIE - SEEB",99412,1873,1934,4196,4360,16
"755",61,2,"20.09.15",10535,4,11,1705,11,"NEUA","20.09.15",85434,85404,85458,85413,12,1000,11,"GLAU","20.09.15",85494,85462,85524,85471,23297,15096,2,1,2,"SCHW - MUEH",93851,2429,2454,5565,5628,-32
"756",61,1,"20.09.15",10535,4,14,888,20,"FRIA","20.09.15",53034,53037,53052,53047,15,2814,20,"WALD","20.09.15",53088,53094,53106,53094,23272,15060,1,1,1,"MUEH - SCHW",93851,2463,2375,5649,5432,6
"757",80,2,"20.09.15",10529,8,8,2034,22,"RAUT","20.09.15",50448,50549,50472,50561,9,1570,22,"LIND","20.09.15",50550,50665,50586,50689,26199,4825,2,1,2,"TRIS - BOEN",90280,2543,2535,5899,5869,115
"758",33,2,"24.09.15",10171,2,28,3466,11,"FRST","24.09.15",34908,35221,34920,35233,29,1144,13,"HEGI","24.09.15",34974,35284,34992,35298,352942,11890,2,1,2,"TRIE - BTIE",103255,2620,2113,5978,4843,310
"759",5,1,"23.09.15",2095,2,8,1666,1,"MUSR","23.09.15",20496,20524,20520,20540,9,3026,0,"ENGE","23.09.15",20622,20673,20622,20736,350079,10082,13,1,13,"WOLL - ENGE für Ausfahrt",103955,2413,1893,5529,4253,51
"760",5,1,"23.09.15",2088,3,4,1889,0,"PLAT","23.09.15",41820,41818,41862,41862,5,1359,0,"KANT","23.09.15",41958,41969,41988,41983,350135,4519,3,1,3,"KFLU - LAUB",103698,2799,2571,6667,6279,11
"761",10,2,"23.09.15",3065,4,17,2151,1,"SALE","23.09.15",20892,20922,20910,20933,18,2572,1,"SOER","23.09.15",20970,21008,21000,21024,46312,12798,4,1,4,"GESS - FRAF Mutation auf Li 12",93372,2313,1311,5288,2869,38
"762",10,2,"23.09.15",3070,3,23,6508,1,"GLIN07","23.09.15",65730,65724,65748,65751,24,994,1,"BGLA07","23.09.15",65820,65817,65838,65827,46298,12798,4,1,4,"GESS - FRAF Mutation auf Li 12",91371,1379,1452,3035,3210,-3
"763",2,2,"23.09.15",3002,3,22,1026,1,"GRIM","23.09.15",63936,64000,63954,64016,23,1570,1,"LIND","23.09.15",64008,64074,64038,64102,349628,4400,2,1,2,"BTIE - FARB",104474,2770,2535,6593,5867,66
"764",2,2,"23.09.15",3002,3,20,883,1,"FREI","23.09.15",54282,54288,54306,54301,21,1364,1,"KAPP","23.09.15",54354,54358,54372,54375,349624,4400,2,1,2,"BTIE - FARB",104474,2253,2244,5120,5093,4
"765",5,2,"23.09.15",2093,1,13,1889,1,"PLAT","23.09.15",43272,43330,43308,43347,14,2788,1,"VOLT","23.09.15",43380,43420,43404,43433,350057,4520,4,1,4,"LAUB - KFLU",103687,2799,2766,6666,6581,40
"766",744,1,"23.09.15",10274,4,4,2422,50,"DBRE","23.09.15",42390,42447,42402,42447,5,2838,50,"DWAS","23.09.15",42450,42471,42462,42479,67768,12277,1,1,1,"BSTE - SCHE",90781,1475,2676,9089,6361,21
"767",46,1,"22.09.15",10147,1,4,979,10,"GIBL","22.09.15",77772,77794,77790,77797,5,2364,10,"SEGA","22.09.15",77826,77856,77844,77858,353329,4714,1,1,1,"RUET - BQUA",103950,2811,2587,6701,6329,30
"768",912,2,"22.09.15",11660,2,8,516,51,"BOGL","22.09.15",50022,50064,50040,50070,9,1011,51,"GOBA","22.09.15",50082,50112,50100,50119,182192,16406,20,1,20,"ITFA - OPER wenden OPER",96381,2556,2746,6244,6536,30
"769",8,2,"22.09.15",2066,1,2,1278,1,"HOEL","22.09.15",34770,34811,34788,34823,3,2124,1,"ROEM","22.09.15",34830,34874,34866,34896,407464,4596,2,1,2,"KLUS - HARP",105819,1406,1531,6115,6140,44
"770",46,2,"22.09.15",10166,10,3,1745,12,"NORS","22.09.15",26250,26386,26280,26402,4,1547,11,"LETT","22.09.15",26316,26445,26340,26456,353667,11466,2,1,2,"BQUA - RUET",104003,2673,2622,6106,5982,129
"771",303,2,"21.09.15",11427,2,21,6301,51,"FURT","21.09.15",39792,39968,39804,39968,22,6303,51,"SINT","21.09.15",39846,39999,39858,39999,435672,12085,2,1,2,"SCHL - BKIS",106645,2014,2015,4552,4553,153
"772",89,2,"21.09.15",10249,1,1,6463,21,"SIHC","21.09.15",56100,56125,56100,56126,2,2550,0,"SAAL","21.09.15",56238,56247,56256,56264,56004,8631,2,1,2,"SIHC - HEIZ",92774,1851,1854,4151,4162,9
"773",89,2,"21.09.15",10618,3,20,2707,21,"TUEF","21.09.15",31632,31695,31656,31704,21,2934,21,"WINH","21.09.15",31680,31737,31704,31747,56026,8631,2,1,2,"SIHC - HEIZ",92308,2580,2710,6311,6438,57
"774",14,1,"20.09.15",2053,4,18,1366,1,"SIHP","20.09.15",53922,53913,53952,53927,19,2556,1,"STAU","20.09.15",54030,54020,54120,54132,250826,5275,1,1,1,"SEEB - TRIE",99345,2262,1502,5152,3311,-10
"775",14,1,"20.09.15",2021,2,16,412,1,"BPLA","20.09.15",47148,47130,47196,47151,17,1608,1,"LOEW","20.09.15",47232,47208,47256,47219,250770,5275,1,1,1,"SEEB - TRIE",99317,1541,2256,3448,5130,-24
"776",14,2,"20.09.15",2013,6,9,2556,0,"STAU","20.09.15",78348,78330,78438,78413,10,1366,0,"SIHP","20.09.15",78510,78498,78534,78507,250892,5276,2,1,2,"TRIE - SEEB",99412,1502,2262,3312,5153,-12
"777",80,1,"20.09.15",10531,7,18,2707,22,"TUEF","20.09.15",38616,38621,38640,38637,19,3022,11,"BALT","20.09.15",38748,38767,38790,38791,25159,4824,1,1,1,"BOEN - TRIS",92815,2580,2540,6314,5889,19
"778",61,1,"20.09.15",10535,4,17,901,20,"FRDR","20.09.15",78732,78700,78750,78701,18,2294,21,"SCHW","20.09.15",78792,78963,78792,78963,23290,15065,3,1,3,"MUEH - SCHW  Mutation auf Li63",93851,2440,1501,5591,3309,171
"779",63,1,"20.09.15",10277,7,1,3034,22,"BOER","20.09.15",49530,49579,49530,49579,2,2572,3,"SOER","20.09.15",49590,49651,49620,49679,23467,2779,1,1,1,"BOER - SCHW",93060,1829,1311,4096,9158,61
