,linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach,arrivelate
5692,75,1,21.09.15,10529,5,10,6250,20,HIMM,21.09.15,78330,78351,78348,78357,11,3804,20,NBRU,21.09.15,78402,78419,78420,78428,53521,13282,51,1,51,SEPL - BOEN neue Fz.,91794,2847,2609,6792,5942,17
5693,67,1,21.09.15,10617,5,8,840,20,FELL,21.09.15,50574,50593,50598,50601,9,2147,20,SACK,21.09.15,50640,50659,50652,50665,52881,4779,11,1,11,DUNK - SWIE (Aufenthalt),91610,2713,2829,6454,9349,19
5694,753,2,21.09.15,11002,11,16,617,11,CARL,21.09.15,35454,35387,35472,35401,17,1430,50,KLUS,21.09.15,35724,35631,35724,36031,68884,6449,2,1,2,VHOF - KLUS,93834,2428,1905,5563,4282,-93
5695,306,2,20.09.15,11404,1,5,3344,51,DSTA,20.09.15,44394,44404,44412,44404,6,1417,51,KIPL,20.09.15,44484,44473,44502,44473,432780,11759,2,1,2,STAH-BDIE,106527,1959,2054,4427,4664,-11
5696,6,1,20.09.15,3047,4,4,2673,0,TOBL,20.09.15,67206,67242,67230,67254,5,1407,0,KFLU,20.09.15,67296,67304,67332,67323,344468,4560,3,1,3,ZOO - GESS,104470,2701,2845,6413,6788,8
5697,66,2,20.09.15,10602,2,2,2889,21,WIDM,20.09.15,81858,81885,81876,81885,3,1356,21,KALB,20.09.15,81924,81918,81936,81918,24626,4764,4,1,4,NUEB - MORG,90267,2146,2568,4927,6273,-6
5698,32,1,20.09.15,10090,2,22,902,10,FRIB,20.09.15,47454,47677,47466,47691,23,904,10,FRIE,20.09.15,47526,47754,47538,47767,346174,4326,1,1,1,HOLZ - STRV,103336,2660,2662,6075,6079,228
5699,14,1,25.09.15,2024,2,23,1012,0,GOLP,25.09.15,22158,22173,22200,22182,24,2638,0,TALW,25.09.15,22236,22253,22266,22262,79064,5275,1,1,1,SEEB - TRIE,93505,701,2627,1559,5994,17
5700,162,2,25.09.15,9022,1,4,1401,51,KILB,25.09.15,73704,73734,73722,73734,5,75,51,ALHK,25.09.15,73746,73767,73764,73767,58789,12175,2,1,2,KSPI - BKIL,90323,832,1911,1837,4297,21
5701,17,1,25.09.15,3001,5,17,412,1,BPLA,25.09.15,33744,33783,33792,33852,18,972,0,GESS,25.09.15,33864,33916,33864,33916,367972,4373,1,1,1,WERD - GESS,104950,1541,1816,3448,4067,52
5702,17,2,25.09.15,3001,5,9,799,1,EWYS,25.09.15,60240,60249,60264,60266,10,927,1,FOER,25.09.15,60354,60401,60378,60413,367987,4374,2,1,2,GESS - WERD,104950,1574,2705,3567,6425,47
5703,17,2,25.09.15,2057,6,7,2014,1,QUEL,25.09.15,76698,76692,76716,76699,8,648,1,DAMM,25.09.15,76758,76743,76776,76752,368035,4374,2,1,2,GESS - WERD,104009,2298,2290,5254,5227,-15
5704,17,2,25.09.15,2057,6,1,972,0,GESS,25.09.15,56280,56298,56280,56298,2,416,1,BSTR,25.09.15,56448,56455,56484,56473,368025,4374,2,1,2,GESS - WERD,104009,1816,1895,4067,4260,7
